Ngành,Chỉ số,2021,2022,2023,2024
Tư vấn & Hỗ trợ Kinh doanh,P/E,7.053243164,17.3886070358,14.0820507388,10.8724385051
Tư vấn & Hỗ trợ Kinh doanh,P/B,2.3595074096,0.8871992229,1.2369588534,1.0847100892
Tư vấn & Hỗ trợ Kinh doanh,P/S,914.5558996827,1325.9104003159,5.2140016402,3.1269627114
Tư vấn & Hỗ trợ Kinh doanh,P/Cash Flow,112.9905738534,2.6708474183,4.096820561,14.1679300651
Tư vấn & Hỗ trợ Kinh doanh,Số CP lưu hành,344618540.0,409039044.0,409799497.0,409799497.0
Tư vấn & Hỗ trợ Kinh doanh,EV/EBITDA,36.9809674412,20.5402619426,22.4252634038,5.726648787
Tư vấn & Hỗ trợ Kinh doanh,BVPS (VND),19915.5102720068,18496.4025850305,18608.0110928418,19649.4379219455
Tư vấn & Hỗ trợ Kinh doanh,Chỉ số thanh toán tiền mặt,0.4243464891,1.1120564534,0.2657553383,5.1340035836
Tư vấn & Hỗ trợ Kinh doanh,Nợ/VCSH,1.3545961922,1.0611033312,0.9029373119,0.7251301532
Tư vấn & Hỗ trợ Kinh doanh,ROE (%),0.3888348714,0.0440119031,0.090294399,0.1078557309
Tư vấn & Hỗ trợ Kinh doanh,ROA (%),0.1698792024,0.0194275683,0.0440214712,0.0565551227
Tư vấn & Hỗ trợ Kinh doanh,Số ngày thu tiền bình quân,102.9439136025,227.0004954718,231.6922617277,163.3433668399
Tư vấn & Hỗ trợ Kinh doanh,Số ngày tồn kho bình quân,28.6715872658,45.2812886528,36.0143146704,38.1802937524
Tư vấn & Hỗ trợ Kinh doanh,Chỉ số thanh toán nhanh,3.5617523438,3.4529713569,3.2844716757,133.1452916534
Tư vấn & Hỗ trợ Kinh doanh,Số ngày thanh toán bình quân,89.2478470525,179.3722728445,155.595873495,158.0550107465
Tư vấn & Hỗ trợ Kinh doanh,Biên lợi nhuận gộp (%),0.4082813184,0.3565946432,0.3180793562,0.3407547474
Tư vấn & Hỗ trợ Kinh doanh,Biên EBIT (%),-12.6014647358,-24.0054764263,0.1480157312,0.2090824332
Tư vấn & Hỗ trợ Kinh doanh,Biên lợi nhuận ròng (%),-75.6065547372,-148.8180847934,0.4424303079,0.3890268177
Tư vấn & Hỗ trợ Kinh doanh,Chỉ số thanh toán hiện thời,3.6005641041,3.5072902328,3.341103779,133.2627151851
Tư vấn & Hỗ trợ Kinh doanh,Quay vòng tài sản,0.3385482235,0.3601963015,0.3956985191,0.5622869323
Tư vấn & Hỗ trợ Kinh doanh,(Vay NH + DH)/VCSH,0.8634942259,0.6814460623,0.6485001539,0.4802174902
Tư vấn & Hỗ trợ Kinh doanh,ROIC (%),0.4243464891,1.1120564534,0.2657553383,5.1340035836
Tư vấn & Hỗ trợ Kinh doanh,Vòng quay TSCĐ,3.081155,2.934749,2.704466,17.66149
Hóa chất,Chu kỳ tiền,74.9196639279,78.8681651705,74.7881033048,69.3421797351
Hóa chất,Tăng trưởng lợi nhuận (%),3.8062769180599108,1.2769581906726606,-0.6553271978603987,-0.007686530261111558
Hóa chất,Lợi nhuận sau thuế của Cổ đông công ty mẹ,8718329376732.0,19851271483332.0,6842193368194.0,6789600641817.0
Hóa chất,Tăng trưởng doanh thu (%),0.3819645191996941,0.3238614203446877,-0.18217051515022423,0.006446974274291575
